Week,Doses Distributed (million doses)
02/23/2018,155.3
02/09/2018,154.7
02/02/2018,154.3
01/26/2018,154.2
01/12/2018,152.1
01/05/2018,151.5
12/15/2017,150.3
12/8/2017,149.6
12/1/2017,148.5
11/24/2017,148.2
10/20/2017,130.2
10/13/2017,123.3
10/06/2017,117.2
09/29/2017,104.7
09/15/2017,73.7
03/03/2017,145.9
02/24/2017,145.8
02/17/2017,145.7
02/10/2017,145.6
02/03/2017,145.2
01/27/2017,145.0
01/13/2017,144.6
12/30/2016,143.7
12/16/2016,143.2
12/02/2016,142.0
11/25/2016,139.6
11/11/2016,139.0
11/04/2016,136.1
10/28/2016,134.0
10/21/2016,130.3
10/14/2016,124.5
10/07/2016,116.3
09/23/2016,108.8
09/16/2016,93.2
09/09/2016,69.7
09/02/2016,52.7
02/26/2016,146.4
02/19/2016,146.4
02/12/2016,146.3
02/05/2016,146.2
01/29/2016,146.0
01/22/2016,145.8
01/15/2016,145.6
01/08/2016,145.4
01/01/2016,144.9
12/11/2015,143.3
12/04/2015,142.0
11/27/2015,140.5
11/13/2015,132.7
11/6/2015,127.9
10/30/2015,123.7
10/23/2015,118.2
10/16/2015,113.04
10/09/2015,109.4
10/02/2015,98.5
9/25/2015,92.3
9/18/2015,76.1
9/11/2015,65.1
9/04/2015,40.7
2/6/2015,147.8
1/30/2015,147.7
1/23/2015,147.6
1/16/2015,147.4
1/9/2015,147.1
12/5/2014,145.4
11/28/2014,144.5
11/14/2014,139.7
11/7/2014,135.9
10/31/2014,132.2
10/17/2014,117.8
10/10/2014,112.3
10/3/2014,98.9
9/26/2014,87.9
9/19/2014,62.1
9/12/2014,54.8
9/5/2014,40.8
8/29/2014,33.8
2/28/2014,134.5
2/14/2014,134.4
2/7/2014,134.2
1/31/2014,134.1
1/24/2014,133.9
1/17/2014,133.4
1/3/2014,131.2
12/13/2013,130.2
12/6/2013,129.8
11/29/2013,128.6
11/15/2013,126.3
11/8/2013,123.6
11/1/2013,118.3
10/25/2013,113.9
10/18/2013,110.5
9/20/2013,73.0
9/13/2013,61.8
9/6/2013,50.2
8/30/2013,40.2
03/01/2013,134.9
02/22/2013,134.9
02/15/2013,134.8
02/08/2013,134.8
02/01/2013,134.6
01/25/2013,134.2
01/18/2013,133.5
01/11/2013,129.4
01/04/2013,128.1
12/14/2012,127.1
12/07/2012,126.3
11/30/2012,125.3
11/23/2012,124.7
11/09/2012,123.7
11/02/2012,121.8
10/26/2012,120.4
10/19/2012,117.1
10/12/2012,114.6
10/05/2012,112.7
09/28/2012,105.1
09/21/2012,96.8
09/14/2012,85.6
09/07/2012,72.6
02/03/2012,132.1
01/20/2012,132.0
12/30/2011,131.2
12/16/2011,130.6
12/9/2011,130.1
11/25/2011,129.2
11/18/2011,127.9
11/11/2011,126.9
10/28/2011,124.9
10/21/2011,122.9
10/07/2011,115.5
9/30/2011,110.4
9/23/2011,104.8
9/16/2011,97.7
9/09/2011,85.9
9/02/2011,67.9
8/26/2011,55.1
